DATETIME,AIR,KWH,CO2
2013/6/1 0:00,3541,509,488
2013/6/1 0:01,3561,492,460
2013/6/1 0:02,3163,519,460
2013/6/1 0:03,3278,469,489
2013/6/1 0:04,3442,507,470
2013/6/1 0:05,3044,521,542
2013/6/1 0:06,3412,492,540
2013/6/1 0:07,3457,489,507
2013/6/1 0:08,3402,521,529
2013/6/1 0:09,3239,467,514
2013/6/1 0:10,3624,499,528
2013/6/1 0:11,3195,478,525
2013/6/1 0:12,3552,473,447
2013/6/1 0:13,3527,451,492
2013/6/1 0:14,3092,455,450
2013/6/1 0:15,3637,513,456
2013/6/1 0:16,3358,518,463
2013/6/1 0:17,3397,502,524
2013/6/1 0:18,3175,486,495
2013/6/1 0:19,3417,481,533
2013/6/1 0:20,3315,530,510
2013/6/1 0:21,3307,478,482
2013/6/1 0:22,3268,522,453
2013/6/1 0:23,3563,502,506
2013/6/1 0:24,3214,479,491
2013/6/1 0:25,3062,507,465
2013/6/1 0:26,3217,530,470
2013/6/1 0:27,3576,484,536
2013/6/1 0:28,3272,486,486
2013/6/1 0:29,3548,537,483
2013/6/1 0:30,3416,529,532
2013/6/1 0:31,3628,465,449
2013/6/1 0:32,3488,486,488
2013/6/1 0:33,3591,462,514
2013/6/1 0:34,3261,462,468
2013/6/1 0:35,3774,501,461
2013/6/1 0:36,3306,480,492
2013/6/1 0:37,3638,499,526
2013/6/1 0:38,3178,464,512
2013/6/1 0:39,3484,525,512
2013/6/1 0:40,3645,518,516
2013/6/1 0:41,3776,464,461
2013/6/1 0:42,3244,527,483
2013/6/1 0:43,3450,487,535
2013/6/1 0:44,3199,496,464
2013/6/1 0:45,3659,517,543
2013/6/1 0:46,3562,489,487
2013/6/1 0:47,3456,494,518
2013/6/1 0:48,3784,468,477
2013/6/1 0:49,3501,452,498
2013/6/1 0:50,3651,509,521
2013/6/1 0:51,3470,486,462
2013/6/1 0:52,3254,519,453
2013/6/1 0:53,3472,530,520
2013/6/1 0:54,3381,538,534
2013/6/1 0:55,3777,465,490
2013/6/1 0:56,3566,513,479
2013/6/1 0:57,3343,485,521
2013/6/1 0:58,3824,539,518
2013/6/1 0:59,3746,516,453
